ring_id,vertex_id,x,y
0,0,1035415.329,799692.6335
0,1,1016032.299,794838.8433
0,2,988365.9315,798379.2899
0,3,989483.4698,803144.2392
0,4,964827.9841,795716.2587
0,5,966163.6731,801200.8739
0,6,940849.4338,793381.2097
0,7,885981.491,800575.9678
0,8,884487.9781,787082.8754
0,9,874568.0484,769847.1106
0,10,882752.0853,761139.5501
0,11,834630.7888,758920.7722
0,12,822250.9603,765896.2861
0,13,821040.7847,731871.0483
0,14,844987.4838,719449.3734
0,15,853585.2295,721955.0282
0,16,867621.4209,716083.1234
0,17,872010.7117,703647.2742
0,18,882890.0301,705045.6641
0,19,911993.1803,692030.1456
0,20,920286.384,692861.2806
0,21,941577.5773,656792.643
0,22,926015.1266,661041.0706
0,23,929486.6615,644917.0498
0,24,942764.7894,635740.3782
0,25,946443.1813,577756.0482
0,26,940078.4257,566197.5293
0,27,932607.0103,566493.0033
0,28,932486.6388,540283.8458
0,29,924589.4025,537965.3277
0,30,926445.2225,531938.2425
0,31,914094.2649,530571.1106
0,32,910197.9929,519126.2676
0,33,911427.9446,492613.2386
0,34,934044.4746,484994.0538
0,35,948863.3255,510879.2435
0,36,958131.5215,534082.1314
0,37,968947.4176,537892.5333
0,38,980813.5544,548886.7391
0,39,996192.8952,542021.7101
0,40,1008795.699,520372.3749
0,41,1014480.37,493378.3441
0,42,1020731.463,478703.6351
0,43,1026707.683,448771.9829
0,44,1036969.025,429667.6096
0,45,1054788.675,436637.628
0,46,1065720.046,457837.5436
0,47,1078586.232,467188.9795
0,48,1084434.872,481299.3456
0,49,1069779.99,564354.0439
0,50,1076244.356,576651.7774
0,51,1076505.629,596437.5081
0,52,1086037.975,606167.2465
0,53,1094474.113,628612.5776
0,54,1090621.687,651057.0293
0,55,1076505.001,673630.746
0,56,1059308.524,693021.838
0,57,1046857.621,698990.3333
0,58,1083872.831,703268.2643
0,59,1078391.682,692177.3928
0,60,1086848.726,686759.0864
0,61,1087153.071,676054.6794
0,62,1100069.135,671192.9237
0,63,1104706.095,660347.0172
0,64,1108205.264,682388.9356
0,65,1111050.946,656819.7593
0,66,1120736.5,653578.9736
0,67,1118347.664,626562.1688
0,68,1128112.169,647844.4232
0,69,1139581.003,650766.1266
0,70,1141997.219,640338.5716
0,71,1159129.109,632456.5968
0,72,1187531.476,628096.6127
0,73,1189502.282,654118.9984
0,74,1174636.433,660848.3351
0,75,1181686.999,672894.0934
0,76,1189637.049,675713.4243
0,77,1194507.93,662568.5953
0,78,1207094.011,666142.6593
0,79,1190889.943,687658.9813
0,80,1186853.667,683949.3478
0,81,1185618.04,691875.0598
0,82,1171491.761,700800.8845
0,83,1180299.805,705957.6086
0,84,1171092.737,714146.6975
0,85,1161372.009,715783.0137
0,86,1158378.231,728092.1516
0,87,1151323.224,729890.3211
0,88,1142529.953,742717.8637
0,89,1141274.216,756076.1306
0,90,1135611.965,751524.9777
0,91,1120340.328,766750.5138
0,92,1119456.173,773054.9764
0,93,1104537.136,790106.1813
0,94,1082822.319,787256.4125
0,95,1039470.909,789090.6958
0,96,1050222.9,797267.4051
0,97,1043657.899,800167.4117
0,98,1029699.265,788805.6183
Target vertices: 99
Total signed area in input: 6.321472e+10
Total signed area in output: 6.321472e+10
Total areal displacement: 1.268855e+09
Running time: 30387.46 ms
Peak memory: 855.27 MB
