ring_id,vertex_id,x,y
0,0,97.16544654,23.68231666
0,1,95.97559933,28.15954902
0,2,94.33375253,33.25716202
0,3,91.76199409,39.90346614
0,4,88.49740927,46.63156941
0,5,85.8754492,51.27451258
0,6,83.27395813,55.41069327
0,7,80.30967682,59.608355
0,8,76.74090377,64.16937689
0,9,71.72814703,69.7719594
0,10,66.19296756,74.99802297
0,11,60.95225037,79.33625252
0,12,55.41069327,83.27395813
0,13,51.27451258,85.8754492
0,14,46.63156941,88.49740927
0,15,39.90346614,91.76199409
0,16,33.25716202,94.33375253
0,17,28.15954902,95.97559933
0,18,23.68231666,97.16544654
0,19,18.0881478,98.39714848
0,20,11.50222531,99.35954206
0,21,6.618698919,99.80869778
0,22,-1.623413958,100.0556364
0,23,-10.38097872,99.52338255
0,24,-18.08811522,98.39715564
0,25,-23.68231666,97.16544654
0,26,-28.15954902,95.97559933
0,27,-33.25716202,94.33375253
0,28,-39.90346614,91.76199409
0,29,-46.63156941,88.49740927
0,30,-51.27451258,85.8754492
0,31,-55.41069327,83.27395813
0,32,-59.608355,80.30967682
0,33,-64.16937689,76.74090377
0,34,-69.7719594,71.72814703
0,35,-74.99802297,66.19296756
0,36,-79.33625252,60.95225037
0,37,-83.27395813,55.41069327
0,38,-85.8754492,51.27451258
0,39,-88.49740927,46.63156941
0,40,-91.76199409,39.90346614
0,41,-94.33375253,33.25716202
0,42,-95.97559933,28.15954902
0,43,-97.16544654,23.68231666
0,44,-98.39714848,18.0881478
0,45,-99.35954206,11.50222531
0,46,-99.80869778,6.618698919
0,47,-100.0556364,-1.623413958
0,48,-99.52338255,-10.38097872
0,49,-98.39715564,-18.08811522
0,50,-97.16544654,-23.68231666
0,51,-95.97559933,-28.15954902
0,52,-94.33375253,-33.25716202
0,53,-91.76199409,-39.90346614
0,54,-88.49740927,-46.63156941
0,55,-85.8754492,-51.27451258
0,56,-83.27395813,-55.41069327
0,57,-80.30967682,-59.608355
0,58,-76.74090377,-64.16937689
0,59,-71.72814703,-69.7719594
0,60,-66.19296756,-74.99802297
0,61,-60.95225037,-79.33625252
0,62,-55.41069327,-83.27395813
0,63,-51.27451258,-85.8754492
0,64,-46.63156941,-88.49740927
0,65,-39.90346614,-91.76199409
0,66,-33.25716202,-94.33375253
0,67,-28.15954902,-95.97559933
0,68,-23.68231666,-97.16544654
0,69,-18.0881478,-98.39714848
0,70,-11.50222531,-99.35954206
0,71,-6.618698919,-99.80869778
0,72,1.623413958,-100.0556364
0,73,10.38097872,-99.52338255
0,74,18.08811522,-98.39715564
0,75,23.68231666,-97.16544654
0,76,28.15954902,-95.97559933
0,77,33.25716202,-94.33375253
0,78,39.90346614,-91.76199409
0,79,46.63156941,-88.49740927
0,80,51.27451258,-85.8754492
0,81,55.41069327,-83.27395813
0,82,59.608355,-80.30967682
0,83,64.16937689,-76.74090377
0,84,69.7719594,-71.72814703
0,85,74.99802297,-66.19296756
0,86,79.33625252,-60.95225037
0,87,83.27395813,-55.41069327
0,88,85.8754492,-51.27451258
0,89,88.49740927,-46.63156941
0,90,91.76199409,-39.90346614
0,91,94.33375253,-33.25716202
0,92,95.97559933,-28.15954902
0,93,97.16544654,-23.68231666
0,94,98.39715564,-18.08811522
0,95,99.52338255,-10.38097872
0,96,100.0556364,-1.623413958
0,97,99.80869778,6.618698919
0,98,99.35954206,11.50222531
0,99,98.39714848,18.0881478
Target vertices: 100
Total signed area in input: 3.141587e+04
Total signed area in output: 3.141587e+04
Total areal displacement: 9.451948e+00
Running time: 36.58 ms
Peak memory: 7.42 MB
